Department,YearsAtCompany,MonthlyIncome,OverTime,CommuteMinutes,JobSatisfaction,YearsSincePromotion,Attrition
Sales,3.1,5300.0,Yes,6.0,3.7,1.8,1
Sales,3.6,6258.0,No,5.0,3.7,4.3,0
Sales,7.1,5933.0,No,3.0,2.8,3.1,0
R&D,9.8,3542.0,No,13.0,4.0,0.4,0
Sales,5.6,6642.0,Yes,11.0,3.2,2.6,0
R&D,2.5,6617.0,No,32.0,3.1,2.4,0
R&D,4.6,5858.0,No,9.0,1.8,0.9,0
Sales,6.1,3575.0,No,8.0,3.3,3.7,0
Sales,8.9,3208.0,No,1.0,3.0,1.5,0
R&D,11.6,5475.0,Yes,9.0,4.1,0.3,0
R&D,5.3,3875.0,No,28.0,3.4,5.1,0
Support,5.0,3408.0,Yes,5.0,3.2,1.2,0
Support,15.3,6750.0,No,10.0,2.8,0.7,0
Sales,12.9,6775.0,Yes,19.0,2.7,0.1,0
Support,10.6,6375.0,No,18.0,2.6,2.7,0
Support,8.1,7375.0,No,2.0,4.0,2.8,0
Support,9.0,6767.0,No,3.0,1.9,0.9,0
Support,8.3,3683.0,No,3.0,1.9,4.0,0
R&D,17.1,7133.0,No,14.0,3.5,1.8,0
Support,8.6,5592.0,No,21.0,4.7,0.2,0
R&D,6.4,6075.0,Yes,2.0,3.6,4.7,0
R&D,6.2,7758.0,No,4.0,3.1,0.3,0
Sales,3.8,6075.0,No,28.0,5.0,5.1,0
R&D,2.5,7775.0,No,39.0,3.6,9.0,0
R&D,20.7,5500.0,Yes,27.0,2.7,2.0,0
Sales,15.6,4842.0,Yes,19.0,3.5,0.2,0
Sales,7.1,4358.0,No,13.0,4.2,2.0,0
Support,8.7,5208.0,No,4.0,2.9,1.2,0
Sales,1.6,2892.0,No,5.0,4.0,4.1,0
Support,1.5,5317.0,No,8.0,3.0,3.7,0
R&D,4.3,5233.0,Yes,5.0,3.4,1.7,0
Sales,7.2,4617.0,No,10.0,3.6,2.2,0
Sales,8.4,2083.0,No,8.0,1.0,1.1,1
Support,1.4,2192.0,No,5.0,4.4,2.7,0
R&D,3.3,6475.0,Yes,57.0,3.8,0.7,0
Support,3.0,3975.0,No,9.0,3.7,1.7,0
R&D,5.9,7467.0,Yes,4.0,3.4,4.9,0
R&D,2.4,4342.0,No,6.0,3.0,2.3,0
Sales,3.4,5950.0,Yes,3.0,4.5,4.1,1
Support,2.0,3250.0,No,11.0,3.2,0.6,0
Sales,9.3,4458.0,No,9.0,4.1,4.4,0
R&D,6.2,5083.0,Yes,1.0,1.6,2.3,0
Sales,3.0,6283.0,Yes,5.0,5.0,4.3,0
R&D,11.0,7942.0,No,9.0,3.4,3.4,0
Sales,4.1,6858.0,No,15.0,3.5,2.5,0
R&D,7.8,3242.0,No,9.0,2.3,0.4,0
Sales,9.8,5425.0,No,14.0,2.4,0.7,0
Support,15.1,5167.0,Yes,5.0,3.6,5.7,0
